Table 1: Approved Canada Emergency Wage Subsidy (CEWS) Claims by Province/Territory of Business Address,,,,,,,,
,,,,,,,,
Claim Period,Province or Territory,Applications Approved Since Launch,Number of Eligible Employees (Line A),Number of Eligible Employees on Leave with Pay (Line AA),Number of Employees Supported by the Program (Line A + Line AA),CEWS Amount Approved Since Launch,Average CEWS Amount per Employee,Percent Distribution of Approved Applications for Each Claim Period
"P17: June 6, 2021 to July 3, 2021",Manitoba,5610,109430,460,109890,133090000,1211,0.03
"P17: June 6, 2021 to July 3, 2021",Saskatchewan,5400,69940,170,70100,59235000,845,0.03
"P17: June 6, 2021 to July 3, 2021",Alberta,30230,491430,4540,495970,557310000,1124,0.15
"P17: June 6, 2021 to July 3, 2021",British Columbia,28080,446820,3300,450120,434011000,964,0.14
"P17: June 6, 2021 to July 3, 2021",Yukon,170,3450,-,3460,3514000,1016,0
"P17: June 6, 2021 to July 3, 2021",Northwest Territories,130,2320,-,2320,2632000,1134,0
"P17: June 6, 2021 to July 3, 2021",Nunavut,40,770,10,780,804000,1031,0
"P17: June 6, 2021 to July 3, 2021",Missing,270,22870,1170,24040,18856000,784,0
"P17: June 6, 2021 to July 3, 2021",All Canada,206160,3563550,27810,3591360,3542374000,986,1
"P18: July 4, 2021 to July 31, 2021",Newfoundland and Labrador,1730,22470,90,22560,22877000,1014,0.01
"P18: July 4, 2021 to July 31, 2021",Prince Edward Island,740,10270,10,10280,8400000,817,0
"P18: July 4, 2021 to July 31, 2021",Nova Scotia,3070,50860,960,51820,42842000,827,0.02
"P18: July 4, 2021 to July 31, 2021",New Brunswick,2870,38670,50,38720,34392000,888,0.02
"P18: July 4, 2021 to July 31, 2021",Quebec,37200,569400,5900,575300,456110000,793,0.23
"P18: July 4, 2021 to July 31, 2021",Ontario,63110,1045610,7170,1052780,892376000,848,0.39
"P18: July 4, 2021 to July 31, 2021",Manitoba,4500,90700,200,90900,100892000,1110,0.03
"P18: July 4, 2021 to July 31, 2021",Saskatchewan,3990,44870,80,44950,35986000,801,0.02
"P18: July 4, 2021 to July 31, 2021",Alberta,23660,389220,3560,392780,343876000,875,0.14
"P18: July 4, 2021 to July 31, 2021",British Columbia,22070,311900,2440,314340,287767000,915,0.14
"P18: July 4, 2021 to July 31, 2021",Yukon,140,1860,-,1870,1876000,1003,0
"P18: July 4, 2021 to July 31, 2021",Northwest Territories,110,1880,-,1880,1423000,757,0
"P18: July 4, 2021 to July 31, 2021",Nunavut,30,490,20,510,327000,641,0
"P18: July 4, 2021 to July 31, 2021",Missing,200,16840,230,17070,11895000,697,0
"P18: July 4, 2021 to July 31, 2021",All Canada,163400,2595050,20700,2615760,2241037000,857,1
"P19: August 1, 2021 to August 28, 2021",Newfoundland and Labrador,1460,20150,80,20230,13864000,685,0.01
"P19: August 1, 2021 to August 28, 2021",Prince Edward Island,570,7050,-,7050,4055000,575,0
"P19: August 1, 2021 to August 28, 2021",Nova Scotia,2550,42600,690,43280,23417000,541,0.02
"P19: August 1, 2021 to August 28, 2021",New Brunswick,2300,31800,50,31850,18825000,591,0.02
"P19: August 1, 2021 to August 28, 2021",Quebec,31820,485940,4960,490910,282383000,575,0.23
"P19: August 1, 2021 to August 28, 2021",Ontario,52140,878610,5320,883930,500793000,567,0.38
"P19: August 1, 2021 to August 28, 2021",Manitoba,3660,77580,160,77740,60636000,780,0.03
"P19: August 1, 2021 to August 28, 2021",Saskatchewan,3460,39570,70,39640,21889000,552,0.03
"P19: August 1, 2021 to August 28, 2021",Alberta,19850,292380,2880,295270,191595000,649,0.14
"P19: August 1, 2021 to August 28, 2021",British Columbia,18750,299630,960,300590,153792000,512,0.14
"P19: August 1, 2021 to August 28, 2021",Yukon,120,1670,-,1670,1031000,617,0
"P19: August 1, 2021 to August 28, 2021",Northwest Territories,80,1380,-,1380,764000,554,0
"P19: August 1, 2021 to August 28, 2021",Nunavut,20,580,-,580,345000,595,0
"P19: August 1, 2021 to August 28, 2021",Missing,170,14630,130,14760,7084000,480,0
"P19: August 1, 2021 to August 28, 2021",All Canada,136950,2193560,15310,2208880,1280474000,580,1
"P20: August 29, 2021 to September 25, 2021",Newfoundland and Labrador,1260,16590,40,16630,9985000,600,0.01
"P20: August 29, 2021 to September 25, 2021",Prince Edward Island,440,6410,-,6410,3093000,483,0
"P20: August 29, 2021 to September 25, 2021",Nova Scotia,2040,30100,50,30150,14556000,483,0.02
"P20: August 29, 2021 to September 25, 2021",New Brunswick,1910,25420,40,25470,13700000,538,0.02
"P20: August 29, 2021 to September 25, 2021",Quebec,25080,409420,630,410040,209693000,511,0.22
"P20: August 29, 2021 to September 25, 2021",Ontario,43470,785870,1060,786930,380498000,484,0.39
"P20: August 29, 2021 to September 25, 2021",Manitoba,2940,69200,260,69460,47979000,691,0.03
"P20: August 29, 2021 to September 25, 2021",Saskatchewan,2790,31600,40,31640,16597000,525,0.02
"P20: August 29, 2021 to September 25, 2021",Alberta,16610,254500,350,254840,143942000,565,0.15
"P20: August 29, 2021 to September 25, 2021",British Columbia,15770,216600,370,216970,116265000,536,0.14
"P20: August 29, 2021 to September 25, 2021",Yukon,80,1190,-,1190,551000,463,0
"P20: August 29, 2021 to September 25, 2021",Northwest Territories,80,1510,-,1510,746000,494,0
"P20: August 29, 2021 to September 25, 2021",Nunavut,20,560,-,560,362000,646,0
"P20: August 29, 2021 to September 25, 2021",Missing,120,9690,-,9700,4783000,493,0
"P20: August 29, 2021 to September 25, 2021",All Canada,112610,1858650,2850,1861500,962749000,517,1
"P21: September 26, 2021 to October 23, 2021",Newfoundland and Labrador,800,10250,20,10270,3370000,328,0.01
"P21: September 26, 2021 to October 23, 2021",Prince Edward Island,240,2850,-,2860,920000,322,0
"P21: September 26, 2021 to October 23, 2021",Nova Scotia,1320,18660,20,18680,4758000,255,0.02
"P21: September 26, 2021 to October 23, 2021",New Brunswick,1300,20200,120,20310,4787000,236,0.02
"P21: September 26, 2021 to October 23, 2021",Quebec,16300,269490,430,269920,68097000,252,0.21
"P21: September 26, 2021 to October 23, 2021",Ontario,30530,627250,2600,629860,133032000,211,0.4
"P21: September 26, 2021 to October 23, 2021",Manitoba,2010,54170,70,54230,16912000,312,0.03
"P21: September 26, 2021 to October 23, 2021",Saskatchewan,1970,23880,40,23910,5806000,243,0.03
"P21: September 26, 2021 to October 23, 2021",Alberta,11630,201140,180,201320,50827000,252,0.15
"P21: September 26, 2021 to October 23, 2021",British Columbia,10970,147430,560,147990,41103000,278,0.14
"P21: September 26, 2021 to October 23, 2021",Yukon,40,500,-,500,156000,312,0
"P21: September 26, 2021 to October 23, 2021",Northwest Territories,50,690,-,690,211000,306,0
"P21: September 26, 2021 to October 23, 2021",Nunavut,10,160,-,160,51000,319,0
"P21: September 26, 2021 to October 23, 2021",Missing,100,9680,-,9680,1841000,190,0
"P21: September 26, 2021 to October 23, 2021",All Canada,77270,1386340,4040,1390380,331871000,239,1
All Periods,Newfoundland and Labrador,53520,-,-,-,869351000,-,0.01
All Periods,Prince Edward Island,22550,-,-,-,335325000,-,0
All Periods,Nova Scotia,98280,-,-,-,1735321000,-,0.02
All Periods,New Brunswick,94650,-,-,-,1565746000,-,0.02
All Periods,Quebec,1167310,-,-,-,22007504000,-,0.24
All Periods,Ontario,1816790,-,-,-,39552788000,-,0.37
All Periods,Manitoba,131080,-,-,-,3386254000,-,0.03
All Periods,Saskatchewan,130000,-,-,-,1851404000,-,0.03
All Periods,Alberta,705210,-,-,-,15433460000,-,0.14
All Periods,British Columbia,700130,-,-,-,11876670000,-,0.14
All Periods,Yukon,4350,-,-,-,95799000,-,0
All Periods,Northwest Territories,3510,-,-,-,72737000,-,0
All Periods,Nunavut,990,-,-,-,23355000,-,0
All Periods,Missing,7190,-,-,-,776427000,-,0
All Periods,All Canada,4935550,-,-,-,99582140000,-,1
,,,,,,,,
 ,,,,,,,,
Notes:,,,,,,,,
1. Province/Territory is determined by the business address of the applicant  and may not fully reflect where the economic activity took place as some businesses will have employees and/or business activity in more than one jurisdiction.,,,,,,,,
2. 'Missing' indicates that Province/Territory is not available or the business address of the applicant is outside of Canada.,,,,,,,,
3. As employers may submit a separate CEWS claim for each period  the total number of employees for all periods can result in double counting if summing all periods together. As a result  the totals for employee and average per employee are not displayed. The total number of applications does not represent the number of unique employers.,,,,,,,,
4. All counts are rounded to the nearest ten. Approved CEWS amounts are rounded to the nearest thousand. Average amounts are rounded to the nearest dollar. Percentages are rounded to the nearest whole percentage.,,,,,,,,
5. The sum of the data may not add to the total due to rounding.,,,,,,,,
6. Number of employees are as reported on Line A and Line AA of the CEWS application. For periods 5 and subsequent  Line A is the number of eligible active employees. Line AA is only applicable from Period 5 onward and is represented by  “-”  (not applicable) for periods 1 through 4.,,,,,,,,
7. CEWS amounts are as calculated on Line H on the CEWS application.,,,,,,,,
8. Data were produced on January 3  2022. Data are from Canada Revenue Agency source systems as of January 2 2022 11:59:59PM.,,,,,,,,
9. A hyphen [-] indicates that the information has been suppressed for confidentiality purposes. Suppressed information also includes valid zeros.,,,,,,,,
10. Data are subject to change as claims are received  reviewed and adjusted.,,,,,,,,
11. As CEWS claims can be retroactively submitted for any claim period that is open for application data for open periods are not yet complete. While older periods are no longer open for application data for all claim periods are subject to change.,,,,,,,,
12. These data are compiled for CEWS claims that have been approved. CEWS applications currently under assessment or reassessment are excluded pending approval.,,,,,,,,
